2025-05-12 at 15:55:48 | INFO | Найдено 5 записей.
2025-05-12 at 15:55:48 | INFO | Бот успешно запущен.
2025-05-12 at 15:56:26 | INFO | Бот остановлен!
2025-05-12 at 15:56:33 | INFO | Подсчет количества записей Role по фильтру: {}
2025-05-12 at 15:56:33 | INFO | Найдено 3 записей.
2025-05-12 at 15:56:33 | INFO | Подсчет количества записей Region по фильтру: {}
2025-05-12 at 15:56:33 | INFO | Найдено 0 записей.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Алтайский край', 'description': 'Код: 22', 'id': 1}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Амурская область', 'description': 'Код: 28', 'id': 2}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Архангельская область', 'description': 'Код: 29', 'id': 3}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Астраханская область', 'description': 'Код: 30', 'id': 4}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Астраханская область', 'description': 'Код: 31', 'id': 5}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Брянская область', 'description': 'Код: 32', 'id': 6}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Владимирская область', 'description': 'Код: 33', 'id': 7}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Волгоградская область', 'description': 'Код: 34', 'id': 8}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Волгоградская область', 'description': 'Код: 35', 'id': 9}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
